package.name	keep	about.dev_url	about.home	about.license	about.summary	build.number	build.run_exports	extra.additional-platforms	extra.identifiers	extra.recipe-maintainers	package.version	requirements.build	source.patches	source.sha256	source.url	test.commands	about.licence_file	about.license_family	build.entry_points	build.noarch	build.script	requirements.host	requirements.run	test.imports	test.requires	about.doc_url	about.license_file	about.description	build.skip	about.recipe-maintainers	build.merge_build_host	about.doc_source_url	test.source_files	build.rpaths	test.import	extra.skip-lints	source.md5	extra.parent_recipe.name	extra.parent_recipe.path	extra.parent_recipe.version	extra.container.extended-base	extra.notes	source	test.files	extra.identifies	source.folder	build.script_env	extra.autobump.enable	extra.authors	build.ignore_run_exports	extra.recipe_maintainers	about.notes	extra.watch	build.no_link	identifiers	extra.documentation	extra.maintainers	build.has_prefix_files	build.binary_relocation	about.extra.recipe-maintainers	requirements.run_constrained	outputs	extra.additional notes identifiers	extra.recipe-maintainer	source.git_rev	source.git_url	extra.doi	about.license_url	about.licence_family	extra.watch.enable	about.licence_url
abawaca	False	https://github.com/CK7/abawaca	https://github.com/CK7/abawaca	Open Source	abawaca is a binning program for metagenomics.	9	[None]	['linux-aarch64', 'osx-arm64']	['doi:10.1038/nature14486']	['keuv-grvl']	1.0	['make', None, 'pkg-config']	['0001-Use-CXX-and-flags.patch']	57465bb291c3a9af93605ffb11d704324079036205e5ac279601c9e98c467529	https://github.com/CK7/abawaca/archive/v1.00.tar.gz	['abawaca 2>&1 | grep Usage']																																																							
abritamr	False		https://github.com/MDU-PHL/abritamr	GPL-3.0-only	Idenify bacterial AMR genes and SNPs in genome assemblies	0	[None]		['biotools:abritamr']	['kristyhoran']	1.3.0			bd50ff72f8ca4d2a6e08c14058d6c98ec85931233fe85683e21abe402fb1a353	https://pypi.org/packages/source/a/abritamr/abritamr-1.3.0.tar.gz	['abritamr --version', 'abritamr --help', 'abritamr run --help', 'abritamr report --help', 'abritamr update_db --help']	LICENSE	GPL3	['abritamr = abritamr.abritamr:main']	python	-m pip install . --no-build-isolation --no-deps --no-cache-dir -vvv	['pip', 'python >=3.9', 'setuptools', 'libcurl']	['python >=3.9', 'pandas', 'xlsxwriter', 'ncbi-amrfinderplus >=4.0.0', 'parallel']	['abritamr']	['nose', 'pytest']																																														
abromics_galaxy_json_extractor	False	https://gitlab.com/ifb-elixirfr/abromics/abromics-galaxy-json-extractor	https://gitlab.com/ifb-elixirfr/abromics	GPLv3	Tool to convert Galaxy AMR output to abromics project	0	[None]			['pimarin']	0.8.3.6			364997088a29c30cdc45d2c66af40a3d6b8e3398efe1d7eb242d31b0e68abd77	https://gitlab.com/ifb-elixirfr/abromics/abromics-galaxy-json-extractor/-/archive/0.8.3.6/abromics-galaxy-json-extractor-0.8.3.6.tar.gz	['abromics_extract --help', 'abromics_extract --version', 'abromics_extract abricate --help']		GPL	['abromics_extract = abromics_galaxy_json_extractor.main:main']	python	python -m pip install --no-deps --ignore-installed .	['python >=3.9', 'pip >=23.1.2']	['pandas', 'biopython', 'python', 'ld_impl_linux-64', '_libgcc_mutex', 'libstdcxx-ng', 'python_abi', 'ca-certificates', 'libgfortran5', 'libgomp', 'libgfortran-ng', '_openmp_mutex', 'libgcc-ng', 'libopenblas', 'openssl', 'xz', 'ncurses', 'libnsl', 'libffi', 'bzip2', 'libzlib', 'libblas', 'readline', 'tk', 'libsqlite', 'libcblas', 'liblapack', 'tzdata', 'wheel', 'setuptools', 'pip', 'six', 'pytz', 'python-tzdata', 'python-dateutil', 'numpy']			https://gitlab.com/ifb-elixirfr/abromics/abromics-galaxy-json-extractor/-/blob/main/docs/_build/html/index.html	LICENSE.txt																																												
abundancebin	False		https://omics.informatics.indiana.edu/AbundanceBin	Copyright	Abundance-based tool for binning metagenomic sequences.	9	[None]	['linux-aarch64', 'osx-arm64']	['doi:10.1007/978-3-642-12683-3_35']	['keuv-grvl']	1.0.1	['make', None, 'pkg-config']	['0001-Use-CXX-and-flags.patch']	49e73c1c3717da15d2b9bd76487516228b912a071b3cd589b8e7fe519395cd6f	['https://depot.galaxyproject.org/software/abundancebin/abundancebin_1.0.1_src_all.tar.gz', 'http://omics.informatics.indiana.edu/mg/get.php?justdoit=yes&software=abundancebin.1.0.1.tar.gz']	['command -v abundancebin', 'abundancebin || [[ $? == 255 ]]']										https://omics.informatics.indiana.edu/AbundanceBin		"AbundanceBin is an abundance-based tool for binning metagenomic sequences,
such that the reads classified in a bin belong to species of identical or
very similar abundances. AbundanceBin also gives estimations of species
abundances and their genome sizes — two important characteristic parameters
for a microbial community.
"																																											
acinetoscope	False	https://github.com/bbeckley-hub/acinetoscope	https://github.com/bbeckley-hub/acinetoscope	MIT	AcinetoScope: Comprehensive A. baumannii genomic typing pipeline with parallel execution	0	[None]			['bbeckley-hub']	1.2.0			8518c27d1c0a70c2e649e0a96e5ca350c02b0383d4de3772c3aae77b033df6d3	https://github.com/bbeckley-hub/acinetoscope/archive/v1.2.0.tar.gz	['acinetoscope --help']				python	 -m pip install . --no-deps --no-build-isolation -vvv	['python >=3.9', 'pip', 'setuptools']	['python >=3.9', 'pandas >=1.5.0', 'biopython >=1.85', 'psutil >=5.9.0', 'requests >=2.28.0', 'tqdm >=4.64.1', 'click >=8.0.0', 'kaptive >=3.1.0', 'beautifulsoup4 >=4.11.0', 'lxml >=4.9.0', 'matplotlib-base >=3.5.0', 'seaborn >=0.12.0', 'scipy >=1.10.1', 'plotly >=5.10.0', 'abricate >=1.2.0', 'perl', 'any2fasta', 'blast >=2.13.0', 'perl-moo', 'perl-list-moreutils', 'perl-json', 'perl-lwp-protocol-https', 'perl-path-tiny', 'perl-data-dumper', 'perl-getopt-long', 'perl-file-which']			https://github.com/bbeckley-hub/acinetoscope	LICENSE	"AcinetoScope is a complete, automated genomic analysis pipeline for Acinetobacter baumannii,
featuring parallel execution for rapid processing of bacterial genomes. The pipeline integrates
multiple analysis modules into a unified workflow:

• Quality Control (FASTA QC) - Comprehensive sequence validation
• Multi-Locus Sequence Typing (MLST) - Oxford & Pasteur schemes
• K/O Locus Typing (Kaptive) - Capsule and lipooligosaccharide typing
• Antimicrobial Resistance (AMR) - Comprehensive resistance gene detection
• Virulence & Plasmid Profiling (ABRicate) - Multi-database screening
• Critical Genes Flagging - Priority markers for infection control
• Interactive HTML Reports - Gene-centric integrated analysis
• Cross-genome pattern discovery

Key Features:
🚀 Parallel Execution - All modules run simultaneously for maximum speed
📊 Interactive Reports - HTML summaries with visualization
🧬 Multi-Database Integration - CARD, ResFinder, VFDB, NCBI, MEGARes, BacMet
⚡ Easy Deployment - Single command analysis with automatic dependency handling
🎯 Critical Gene Tracking - Carbapenemases, ESBLs, colistin/tigecycline resistance

Designed for clinical microbiology, outbreak investigation, and genomic surveillance,
AcinetoScope provides clinical labs and researchers with a complete solution for
A. baumannii genomic characterization from raw sequencing data to publication-ready reports.
"																																											
addeam	False		https://github.com/LouisPwr/AdDeam	GPL-3.0-or-later	A Fast and Scalable Tool for Estimating and Clustering Reference-Level Damage Profiles.	0	[None]		['biotools:addeam']	['gabriel-renaud', 'louis-kraft']	1.0.0	['make', None]		db89dff19db7e3fbc64d0be11774ed53e604dd5738a31d0f3ae677fb7385a217	https://github.com/LouisPwr/AdDeam/releases/download/1.0.0/AdDeam-v1.0.0.tar.gz	"['addeam-bam2prof.py --help | grep ""Python wrapper for bam2prof""', 'addeam-cluster.py --help | grep ""Cluster and plot damage profiles.""']"						['cython', 'zlib', 'xz', 'curl', 'bzip2', 'gsl', 'htslib', 'samtools']	['python', 'numpy >=2', 'pandas', 'matplotlib-base', 'scikit-learn', 'scipy', 'opencv', 'pypdf2', 'bottleneck', 'htslib', 'samtools', 'zlib', 'xz', 'curl', 'bzip2']				LICENSE		True																																										
agtools	False	https://github.com/Vini2/agtools	https://github.com/Vini2/agtools	MIT	agtools: A Software Framework to Manipulate Assembly Graphs	0	[None]			['Vini2']	1.1.1			241c87bc9849d9dac4b802c1e6bd6037feff8240654b03f83bd50241e2c7dfe5	https://github.com/Vini2/agtools/archive/refs/tags/v1.1.1.tar.gz	['agtools --help']		MIT	['agtools = agtools.cli:main']	python	[' -m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv']	['pip', 'python >=3.10', 'flit-core']	['python >=3.10', 'click', 'loguru', 'bidict', 'biopython', 'python-igraph', 'pycairo', 'pandas']			https://agtools.readthedocs.io/	LICENSE	"agtools is a Python framework for manipulating assembly graphs for downstream metagenomic applications, with a focus on the Graphical Fragment Assembly (GFA) format.
"																																											
align_trim	False	https://github.com/artic-network/align_trim	https://github.com/artic-network/align_trim	MIT	ARTIC align_trim: A tool for trimming amplicon sequencing primers from aligned reads.	0	[None]				1.2.0			0d6f86914b0a071cff42e60fa337d8b368e6a300ba92d485d53d5000940601c4	https://github.com/artic-network/align_trim/archive/1.2.0.tar.gz	['align_trim --help']		MIT	['align_trim = align_trim.main:main']	python	-m pip install --no-deps --no-build-isolation --no-cache-dir . -vvv	['python >=3.9', 'pip', 'hatchling']	['python >=3.9', 'numpy', 'pysam', 'primalbedtools >=0.10.1']			https://github.com/artic-network/align_trim/blob/main/README.md	LICENSE			['Biowilko', 'ChrisgKent']																																									
allelecodes	False		https://github.com/ncezid-biome/AlleleCodes	GPL-3.0	Allele Code Assignment Algorithm for cgMLST schemes	0	[None]			['lskatz', 'gmaniscoo']	2.1			ab9945e8b262e0ea6c87d4e756e652c7f62a11ab1e79f57e1baeeefc28badb74	https://github.com/ncezid-biome/AlleleCodes/archive/45e71ed737db62dc66ab699dd4236cae7335a504.tar.gz	['assignAlleleCodes --help']		GPL		generic		['python >=3.6']	['python >=3.6']				LICENSE	"This tool assigns nearest-neighbor hierarchical codes to allele profiles using cgMLST schemes, as used in public health genomics.
"			True																																								
alleleflux	False	https://github.com/MoellerLabPU/AlleleFlux	https://github.com/MoellerLabPU/AlleleFlux	GPL-3.0-or-later	A tool for fine-grained evolutionary analysis of microbial populations and communities	0	[None]			['Sidduppal']	0.1.14			1eac3ebdfe846f30e151f7cb867598fd129464e7860979fb6b9a10e318ca03dc	https://github.com/MoellerLabPU/AlleleFlux/archive/refs/tags/v0.1.14.tar.gz	"['alleleflux --help > /dev/null 2>&1', 'alleleflux-profile --help > /dev/null 2>&1', 'alleleflux-allele-freq --help > /dev/null 2>&1', 'alleleflux-scores --help > /dev/null 2>&1', 'alleleflux-taxa-scores --help > /dev/null 2>&1', 'alleleflux-gene-scores --help > /dev/null 2>&1', 'alleleflux-outliers --help > /dev/null 2>&1', 'alleleflux-cmh-scores --help > /dev/null 2>&1', 'alleleflux-metadata --help > /dev/null 2>&1', 'alleleflux-qc --help > /dev/null 2>&1', 'alleleflux-eligibility --help > /dev/null 2>&1', 'alleleflux-preprocess-between-groups --help > /dev/null 2>&1', 'alleleflux-preprocess-within-group --help > /dev/null 2>&1', 'alleleflux-preprocessing-eligibility --help > /dev/null 2>&1', 'alleleflux-p-value-summary --help > /dev/null 2>&1', 'alleleflux-lmm --help > /dev/null 2>&1', 'alleleflux-single-sample --help > /dev/null 2>&1', 'alleleflux-two-sample-paired --help > /dev/null 2>&1', 'alleleflux-two-sample-unpaired --help > /dev/null 2>&1', 'alleleflux-cmh --help > /dev/null 2>&1', 'alleleflux-dnds-from-timepoints --help > /dev/null 2>&1', 'alleleflux-create-mag-mapping --help > /dev/null 2>&1', 'alleleflux-add-bam-path --help > /dev/null 2>&1', 'alleleflux-coverage-allele-stats --help > /dev/null 2>&1', 'alleleflux-list-mags --help > /dev/null 2>&1', 'alleleflux-positions-qc --help > /dev/null 2>&1', 'alleleflux-copy-profiles --help > /dev/null 2>&1', 'alleleflux-prepare-metadata --help > /dev/null 2>&1', 'alleleflux-terminal-nucleotide --help > /dev/null 2>&1', 'alleleflux-track-alleles --help > /dev/null 2>&1', 'alleleflux-plot-trajectories --help > /dev/null 2>&1', 'python - <<\'PY\'\nimport alleleflux, sys\nfrom pathlib import Path\nfrom alleleflux.workflow import get_snakefile, get_template_path\n\npkg = Path(alleleflux.__file__).parent\n\nsf = get_snakefile()\ntp = get_template_path()\n\nif not sf.exists():\n    raise SystemExit(f""FATAL: get_snakefile() points to missing file: {sf}"")\nif not tp.exists():\n    raise SystemExit(f""FATAL: get_template_path() points to missing file: {tp}"")\n\nrequired = [\n    ""smk_workflow/alleleflux_pipeline/Snakefile"",\n    ""smk_workflow/config.template.yml"",\n    ""smk_workflow/slurm_profile/config.yaml"",\n    ""smk_workflow/alleleflux_pipeline/shared/common.smk"",\n    ""smk_workflow/alleleflux_pipeline/shared/dynamic_targets.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/metadata.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/profiling.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/quality_control.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/eligibility.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/allele_analysis.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/gene_analysis.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/scoring.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/p_value_summary.smk"",\n    ""smk_workflow/alleleflux_pipeline/rules/dnds_analysis.smk"",\n    ""smk_workflow/accessory/coverage_and_allele_stats.smk"",\n    ""smk_workflow/visualization/visualization.smk"",\n    ""smk_workflow/visualization/visualization_config.yaml"",\n    ""smk_workflow/visualization/smks/metadata_prep.smk"",\n    ""smk_workflow/visualization/smks/analysis.smk"",\n    ""smk_workflow/visualization/smks/plotting.smk"",\n]\n\nmissing = []\nfor rel in required:\n    if not (pkg / rel).exists():\n        missing.append(rel)\nif missing:\n    raise SystemExit(""FATAL: Missing workflow files:\\n  - "" + ""\\n  - "".join(missing))\n\nprint(""✅ All Snakemake workflow files verified!"")\nPY\n']"		GPL3		python	-m pip install . --use-pep517 --no-deps --no-build-isolation --no-cache-dir -vvv	['python >=3.9', 'pip', 'setuptools >=64.0.0', 'wheel']	['python >=3.9', 'numpy', 'pandas', 'scipy', 'matplotlib-base', 'seaborn', 'statsmodels', 'tqdm', 'intervaltree', 'click', 'questionary', 'pyyaml', 'pysam', 'biopython', 'snakemake-minimal >=8.0.0', 'snakemake-executor-plugin-cluster-generic', 'rpy2', 'r-base', 'r-tidyr']	['alleleflux', 'alleleflux.scripts.analysis', 'alleleflux.scripts.preprocessing', 'alleleflux.scripts.statistics']		https://alleleflux.readthedocs.io/en/latest/?badge=latest	LICENSE	"AlleleFlux is a python package for analyzing allele frequencies trajectories
in metagenomic data. It profiles MAG (Metagenome-Assembled Genome) populations 
across samples, detecting parallel evolution through allele frequency changes.
"																																											
