package.name	keep	about.home	about.license	about.license_family	about.license_file	about.summary	build.noarch	build.number	build.script	package.version	requirements.host	requirements.run	source.sha256	source.url	test.commands	test.imports	about.description	build.rpaths	build.run_exports	extra.parent_recipe.name	extra.parent_recipe.path	extra.parent_recipe.version	source.md5	about.dev_url	build.entry_points	extra.recipe-maintainers	requirements.build	extra.identifiers	extra.notes	build.skip	extra.additional-platforms	source.patches	about.doc_url	extra.skip-lints	extra.container.extended-base	test.requires	about.recipe-maintainers	source.git_rev	source.git_url	build.binary_relocation	source	about.licence_family	about.licence_url	build.has_prefix_files	test.source_files	extra.maintainers	identifiers	build.merge_build_host	extra.authors	about.licence_file	build.script_env	about.notes	test.files	extra.additional notes identifiers	extra.autobump.enable	test.import	outputs	extra.identifies	about.doc_source_url	build.no_link	extra.documentation	extra.doi	about.license_url	extra.recipe_maintainers	source.folder	extra.watch	extra.recipe-maintainer
unitem	False	https://github.com/dparks1134/UniteM	GPL-3.0-only	GPL3	LICENSE	Ensemble binning strategies for combining the output of multiple binning methods.	python	0	 -m pip install . --no-deps --ignore-installed -vvv	1.2.6	['pip', 'python >=3']	['python >=3', 'numpy >=1.24', 'svgwrite >=1.4.1', 'maxbin2 >=2.2.7', 'metabat2 >=2.15']	7d761548cfda8db476a16d1f92ae4962a064e48d59d11548bd728c43c5d654da	https://pypi.io/packages/source/u/unitem/unitem-1.2.6.tar.gz	['unitem -h']	['unitem']																																																			
bioconductor-curatedmetagenomicdata	False	https://bioconductor.org/packages/3.20/data/experiment/html/curatedMetagenomicData.html	Artistic-2.0			Curated Metagenomic Data of the Human Microbiome	generic	0		3.14.0	['bioconductor-annotationhub >=3.14.0,<3.15.0', 'bioconductor-experimenthub >=2.14.0,<2.15.0', 'bioconductor-mia >=1.14.0,<1.15.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'bioconductor-treesummarizedexperiment >=2.14.0,<2.15.0', 'r-base', 'r-dplyr', 'r-magrittr', 'r-purrr', 'r-rlang', 'r-stringr', 'r-tibble', 'r-tidyr', 'r-tidyselect']	['bioconductor-annotationhub >=3.14.0,<3.15.0', 'bioconductor-experimenthub >=2.14.0,<2.15.0', 'bioconductor-mia >=1.14.0,<1.15.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'bioconductor-treesummarizedexperiment >=2.14.0,<2.15.0', 'r-base', 'r-dplyr', 'r-magrittr', 'r-purrr', 'r-rlang', 'r-stringr', 'r-tibble', 'r-tidyr', 'r-tidyselect', 'curl', 'bioconductor-data-packages >=20241103']		['https://bioconductor.org/packages/3.20/data/experiment/src/contrib/curatedMetagenomicData_3.14.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/curatedMetagenomicData/curatedMetagenomicData_3.14.0.tar.gz', 'https://bioarchive.galaxyproject.org/curatedMetagenomicData_3.14.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-curatedmetagenomicdata/bioconductor-curatedmetagenomicdata_3.14.0_src_all.tar.gz']	"['$R -e ""library(\'curatedMetagenomicData\')""']"		The curatedMetagenomicData package provides standardized, curated human microbiome data for novel analyses. It includes gene families, marker abundance, marker presence, pathway abundance, pathway coverage, and relative abundance for samples collected from different body sites. The bacterial, fungal, and archaeal taxonomic abundances for each sample were calculated with MetaPhlAn3, and metabolic functional potential was calculated with HUMAnN3. The manually curated sample metadata and standardized metagenomic data are available as (Tree)SummarizedExperiment objects.	['lib/R/lib/', 'lib/']	None	bioconductor-curatedmetagenomicdata	recipes/bioconductor-curatedmetagenomicdata	3.2.3	efb481b40f689c417e9dbab4a98f71f1																																												
genome-uploader	False	https://github.com/EBI-Metagenomics/genome_uploader	Apache-2.0	APACHE	LICENSE.md	Python script to upload bins and MAGs in fasta format to ENA (European Nucleotide Archive).	python	1	-m pip install . --no-deps --no-build-isolation --no-cache-dir -vvv	2.5.1	['python >=3.9', 'setuptools >=61.0.0', 'pip']	['python >=3.9', 'requests >=2.31,<3', 'pandas ==2.0.2', 'python-dotenv >=1.0', 'numpy ==1.26.0', 'click >=8.1.8,<9', 'mgnify-pipelines-toolkit >=1.4.5', 'ena-webin-cli >=9.0.1']	04026a38838e211885aaef39779dee6c9486562cc497e6384595cde425468496	https://github.com/EBI-Metagenomics/genome_uploader/archive/v2.5.1.tar.gz	['genome_upload --help', 'webin_cli_handler --help']	['genomeuploader']			['None']					https://github.com/EBI-Metagenomics/genome_uploader	['genome_upload = genomeuploader.genome_upload:main']	['Ge94', 'KateSakharova']																																									
bioconductor-targetsearch	False	https://bioconductor.org/packages/3.20/bioc/html/TargetSearch.html	GPL (>= 2)		/lib/R/share/licenses/GPL-3	A package for the analysis of GC-MS metabolite profiling data		0		2.8.0	['r-assertthat', 'r-base', 'r-ncdf4', 'libblas', 'liblapack']	['r-assertthat', 'r-base', 'r-ncdf4']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/TargetSearch_2.8.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/TargetSearch/TargetSearch_2.8.0.tar.gz', 'https://bioarchive.galaxyproject.org/TargetSearch_2.8.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-targetsearch/bioconductor-targetsearch_2.8.0_src_all.tar.gz']	"['$R -e ""library(\'TargetSearch\')""']"		This packages provides a flexible, fast and accurate method for targeted pre-processing of GC-MS data. The user provides a (often very large) set of GC chromatograms and a metabolite library of targets. The package will automatically search those targets in the chromatograms resulting in a data matrix that can be used for further data analysis.	['lib/R/lib/', 'lib/']	None				d0d868cbde6b3ca682569e3541ccc4aa				['None', 'make']																																								
scagaire	False	https://github.com/quadram-institute-bioscience/scagaire	GPLv3		LICENSE	Scagaire allows you to take in gene predictions from a metagenomic sample and filter them by bacterial/pathogenic species	python	0	python -m pip install --no-deps --ignore-installed .	0.0.4	['python >=3']	['python >=3', 'biopython >=1.68', 'PyYAML', 'mash']	382e69da15eca6a5ce483320c2206b57c068cc83474cf5ed0cd8a79f6d627344	https://github.com/quadram-institute-bioscience/scagaire/archive/v0.0.4.tar.gz	['scagaire --version']											['thanhleviet']																																									
ntm-profiler	False	https://github.com/jodyphelan/NTM-Profiler	GPL-3.0-or-later	GPL3	LICENSE	Profiling tool for NTM to detect species and resistance from WGS data	python	0	-m pip install --no-deps --no-build-isolation . -vvv	0.8.0	['flit', 'python >=3.7', 'pip', 'gatk4', 'samtools =1.10', 'bwa', 'snpeff =5.2']	['python >=3.7', 'pathogen-profiler =5.1.0', 'jinja2', 'sourmash >=4.8.3']	d10d9387d4320705fc9b6c6ecff9c4bd573235aed425e88ade7f2a429cc6f6c3	https://github.com/jodyphelan/NTM-Profiler/archive/v0.8.0.tar.gz	['ntm-profiler -h']	['ntm_profiler']			['None']																																																
biotransformer	False	https://bitbucket.org/wishartlab/biotransformer3.0jar/src	GPL3		LICENSE	Predicts small molecule metabolism.	generic	0		3.0.20230403		['openjdk >=8', 'python']	8262f84b12d4b4a946a5ee8ebea7a1755a474fa5411c41f83c1f701524cc7403	https://bitbucket.org/wishartlab/biotransformer3.0jar/get/3f0ab32d3496e05e8084ceff249d18a067ff601e.zip	['biotransformer -h', 'biotransformer -h -Xms512m -Xmx1g']		"BioTransformer is a software tool that predicts small molecule metabolism in mammals, their gut microbiota,
as well as the soil/aquatic microbiota. BioTransformer also assists scientists in metabolite identification,
based on the metabolism prediction.
"											['doi:10.1186/s13321‐018‐0324‐5', 'doi:10.1093/nar/gkv1229']	"Biotransformer is Java program that comes with a custom wrapper python script.
This python wrapper is called ""biotransformer"" and is on $PATH by default. By default
""-Xms512m -Xmx1g"" is set in the wrapper. If you want to overwrite it you can
specify these values directly after your binaries. If you have _JAVA_OPTIONS
set globally this will take precedence.
For example run it with ""biotransformer -Xms512m -Xmx1g""
"																																						
gangstr	False	https://github.com/gymreklab/GangSTR	GPL-3.0-or-later	GPL3	COPYING	GangSTR is a tool for genome-wide profiling tandem repeats from short reads.		10		2.5.0	['gsl', 'htslib', 'nlopt', 'bzip2', 'xz', 'zlib']		32b39cc5cb0bbd5fc3e1ab6749e1461fe321c8ffd2b2efb9560c57006c193153	https://github.com/gymreklab/GangSTR/releases/download/v2.5/GangSTR-2.5.0-Source.tar.gz	"[""GangSTR --version 2>&1 | grep -qFx '2.5.0'""]"				['None']					https://github.com/gymreklab/GangSTR			['None', 'cmake >=3.16', 'make', 'pkg-config']	['doi:10.1093/nar/gkz501']		True	['linux-aarch64', 'osx-arm64']	['0001-Unvendor-dependencies-use-pkg-config-instead.patch', 'gangstr-aarch64.patch']																																			
bioconductor-ribocrypt	False	https://bioconductor.org/packages/3.20/bioc/html/RiboCrypt.html	MIT + file LICENSE		LICENSE	Interactive visualization in genomics	generic	0		1.12.0	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicfeatures >=1.58.0,<1.59.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-orfik >=1.26.0,<1.27.0', 'r-base', 'r-bslib', 'r-data.table', 'r-dplyr', 'r-ggplot2', 'r-htmlwidgets', 'r-httr', 'r-jsonlite', 'r-knitr', 'r-markdown', 'r-nglviewer', 'r-plotly', 'r-rcurl', 'r-rlang', 'r-shiny', 'r-shinycssloaders', 'r-shinyhelper', 'r-shinyjqui', 'r-stringr']	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biocparallel >=1.40.0,<1.41.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicfeatures >=1.58.0,<1.59.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-orfik >=1.26.0,<1.27.0', 'r-base', 'r-bslib', 'r-data.table', 'r-dplyr', 'r-ggplot2', 'r-htmlwidgets', 'r-httr', 'r-jsonlite', 'r-knitr', 'r-markdown', 'r-nglviewer', 'r-plotly', 'r-rcurl', 'r-rlang', 'r-shiny', 'r-shinycssloaders', 'r-shinyhelper', 'r-shinyjqui', 'r-stringr']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/RiboCrypt_1.12.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/RiboCrypt/RiboCrypt_1.12.0.tar.gz', 'https://bioarchive.galaxyproject.org/RiboCrypt_1.12.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-ribocrypt/bioconductor-ribocrypt_1.12.0_src_all.tar.gz']	"['$R -e ""library(\'RiboCrypt\')""']"		R Package for interactive visualization and browsing NGS data. It contains a browser for both transcript and genomic coordinate view. In addition a QC and general metaplots are included, among others differential translation plots and gene expression plots. The package is still under development.	['lib/R/lib/', 'lib/']	None				4216d254444fa2e4f3edd8a003ab3162																																												
bioconductor-metascope	False	https://bioconductor.org/packages/3.20/data/experiment/html/MetaScope.html	GPL (>= 3)		/lib/R/share/licenses/GPL-3	Tools and functions for preprocessing 16S and metagenomic sequencing microbiome data	generic	0		1.5.4	['bioconductor-biocfilecache >=2.14.0,<2.15.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-multiassayexperiment >=1.32.0,<1.33.0', 'bioconductor-rbowtie2 >=2.12.0,<2.13.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-data.table', 'r-dplyr', 'r-ggplot2', 'r-magrittr', 'r-matrix', 'r-readr', 'r-rlang', 'r-stringr', 'r-taxize', 'r-tibble', 'r-tidyr']	['bioconductor-biocfilecache >=2.14.0,<2.15.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-multiassayexperiment >=1.32.0,<1.33.0', 'bioconductor-rbowtie2 >=2.12.0,<2.13.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'bioconductor-summarizedexperiment >=1.36.0,<1.37.0', 'r-base', 'r-data.table', 'r-dplyr', 'r-ggplot2', 'r-magrittr', 'r-matrix', 'r-readr', 'r-rlang', 'r-stringr', 'r-taxize', 'r-tibble', 'r-tidyr', 'curl', 'bioconductor-data-packages >=20241103']		['https://bioconductor.org/packages/3.20/data/experiment/src/contrib/MetaScope_1.5.4.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/MetaScope/MetaScope_1.5.4.tar.gz', 'https://bioarchive.galaxyproject.org/MetaScope_1.5.4.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-metascope/bioconductor-metascope_1.5.4_src_all.tar.gz']	"['$R -e ""library(\'MetaScope\')""']"		This package contains tools and methods for preprocessing microbiome data. Functionality includes library generation, demultiplexing, alignment, and microbe identification.  It is in part an R translation of the PathoScope 2.0 pipeline.	['lib/R/lib/', 'lib/']	None				d3f60d78fb0987fa182b408d6a83fe8b																																												
