package.name	keep	about.summary	about.description	about.home
unitem	False	Ensemble binning strategies for combining the output of multiple binning methods.		https://github.com/dparks1134/UniteM
bioconductor-curatedmetagenomicdata	False	Curated Metagenomic Data of the Human Microbiome	The curatedMetagenomicData package provides standardized, curated human microbiome data for novel analyses. It includes gene families, marker abundance, marker presence, pathway abundance, pathway coverage, and relative abundance for samples collected from different body sites. The bacterial, fungal, and archaeal taxonomic abundances for each sample were calculated with MetaPhlAn3, and metabolic functional potential was calculated with HUMAnN3. The manually curated sample metadata and standardized metagenomic data are available as (Tree)SummarizedExperiment objects.	https://bioconductor.org/packages/3.20/data/experiment/html/curatedMetagenomicData.html
genome-uploader	False	Python script to upload bins and MAGs in fasta format to ENA (European Nucleotide Archive).		https://github.com/EBI-Metagenomics/genome_uploader
bioconductor-targetsearch	False	A package for the analysis of GC-MS metabolite profiling data	This packages provides a flexible, fast and accurate method for targeted pre-processing of GC-MS data. The user provides a (often very large) set of GC chromatograms and a metabolite library of targets. The package will automatically search those targets in the chromatograms resulting in a data matrix that can be used for further data analysis.	https://bioconductor.org/packages/3.20/bioc/html/TargetSearch.html
scagaire	False	Scagaire allows you to take in gene predictions from a metagenomic sample and filter them by bacterial/pathogenic species		https://github.com/quadram-institute-bioscience/scagaire
ntm-profiler	False	Profiling tool for NTM to detect species and resistance from WGS data		https://github.com/jodyphelan/NTM-Profiler
biotransformer	False	Predicts small molecule metabolism.	"BioTransformer is a software tool that predicts small molecule metabolism in mammals, their gut microbiota,
as well as the soil/aquatic microbiota. BioTransformer also assists scientists in metabolite identification,
based on the metabolism prediction.
"	https://bitbucket.org/wishartlab/biotransformer3.0jar/src
gangstr	False	GangSTR is a tool for genome-wide profiling tandem repeats from short reads.		https://github.com/gymreklab/GangSTR
bioconductor-ribocrypt	False	Interactive visualization in genomics	R Package for interactive visualization and browsing NGS data. It contains a browser for both transcript and genomic coordinate view. In addition a QC and general metaplots are included, among others differential translation plots and gene expression plots. The package is still under development.	https://bioconductor.org/packages/3.20/bioc/html/RiboCrypt.html
bioconductor-metascope	False	Tools and functions for preprocessing 16S and metagenomic sequencing microbiome data	This package contains tools and methods for preprocessing microbiome data. Functionality includes library generation, demultiplexing, alignment, and microbe identification.  It is in part an R translation of the PathoScope 2.0 pipeline.	https://bioconductor.org/packages/3.20/data/experiment/html/MetaScope.html
