tool_id	biotools_id	filtered_on	reason	to_keep	EDAM_operations	EDAM_topics	description	has_biocontainers_infos	has_biotools_infos	has_galaxy_infos
fastep	fastep	biotools_description	profiles in bio.tools description	True	Sequence alignment analysis (conservation)	Sequence analysis	Fast Computation of Entropic Profiles for the Detection of Conservation in Genomes	False	True	False
nt-seq	nt-seq	biotools_description	profiling in bio.tools description	True	Bisulfite mapping, Gene methylation analysis, Methylation calling, Sequence motif discovery, Sequence motif recognition	DNA, Epigenetics, Methylated DNA immunoprecipitation, Sequence sites, features and motifs, Whole genome sequencing	A chemical-based sequencing method for genomic methylome profiling.	False	True	False
bioconductor-proteinprofiles		biocontainers_description	profiling in BioContainers description	True			Protein Profiling	True	False	False
damageprofiler	damageprofiler	biotools_description	profiler in bio.tools description	True	Read mapping, Visualisation	DNA, Mapping, Sequencing, Workflows	DamageProfiler calculates damage profiles of mapped reads and provides a graphical as well as text based representation.	True	True	False
group_humann2_uniref_abundances_to_go		biocontainers_keywords	metagenomics in BioContainers keywords	True			Group abundances of uniref50 gene families obtained with humann2 to gene ontology (go) slim terms with relative abundances	True	False	False
gpar	gpar	biotools_description	profiles in bio.tools description	True	Expression profile comparison, Gene expression profiling, Gene-set enrichment analysis, Small molecule design	Gene expression, Machine learning, Microarray experiment, Pharmacology, Small molecules	"Modeling drug mechanism of action with large scale gene-expression profiles using GPAR.

GPAR Genetic Profile-Activity Relationship.

GPAR provides drug repurposing and MOAs prediction services. Using gene expression profile data and Deep Learning, to build models, to make predictions."	False	True	False
iamp-2l	iamp-2l	biotools_description	ITS in bio.tools description	True	Peptide identification, Protein sequence analysis	Ecology, Microbiology, Pharmacology, Proteins, Small molecules	This web-server is a two-level multi-label predictor. It can be used to identify an uncharacterized peptide as antimicrobial peptide (AMP) or non-AMP according to its sequences information alone.	False	True	False
fast.adonis	fast.adonis	biotools_description	microbiome in bio.tools description	True	Analysis	Mathematics, Microbial ecology, Statistics and probability	"Non-parametric multivariate analysis of microbiome data for large-scale studies.
It generates results consistent with adonis/adonis2 but much faster. For complex sampling studies, fast.adonis integrates sampling weight algebraically without replicating samples to mimic the source population; thus, analysis can be completed much faster without requiring a large amount of memory."	False	True	False
fastphase	fastphase	biotools_description	ITS in bio.tools description	True	Imputation, Phasing	Population genetics	"fastPHASE is a program to estimate missing genotypes and unobserved haplotypes. It is an implementation of the model described in Scheet & Stephens (2006). This is a cluster-based model for haplotype variation, and gains its utility from implicitly modeling the genealogy of chromosomes in a random sample from a population as a tree but summarizing all haplotype variation in the ""tips"" of the trees."	False	True	False
domainfinder	domainfinder	biotools_description	ITS in bio.tools description	True	Protein sequence analysis	Proteins	DomainFinder is an interactive program for the determination and characterization of dynamical domains in proteins. Its key features are	False	True	False
silvangs	silvangs	EDAM_topics	Metagenomics in EDAM Topics	True	Nucleic acid sequence analysis, Sequence alignment, Sequence clustering, Statistical calculation, Taxonomic classification, Validation, Visualisation	Biodiversity, Functional, regulatory and non-coding RNA, Metagenomics, Microbial ecology, Sequence analysis, Taxonomy	SILVAngs is a data analysis service for ribosomal RNA gene (rDNA) amplicon reads from high-throughput sequencing (next-generation sequencing (NGS)) approaches based on an automatic software pipeline. It uses the SILVA rDNA databases, taxonomies, and alignments as a reference. It facilitates the classification of rDNA reads and provides a wealth of results (tables, graphs and sequence files) for download.	False	True	False
prokka	prokka	biocontainers_keywords	metagenome in BioContainers keywords	True	Coding region prediction, Gene prediction, Genome annotation	Genomics, Model organisms, Virology	Software tool to annotate bacterial, archaeal and viral genomes quickly and produce standards-compliant output files.	True	True	True
